total_timesteps,fps,sil_num_episodes,sil_steps,episode_reward,nupdates,policy_entropy,approxkl,episode_raw_reward,policy_loss,serial_timesteps,time_elapsed,value_loss,clipfrac,sil_valid_samples,best_episode_reward,explained_variance
10649600,2088,0.0,0.0,0.0,1300,2.4872162,0.003849986,0.0,-0.0064812386,166400,5399.68297123909,2.0100286e-05,0.04650879,0.0,0.0,-1.8775444030761719
10731520,2046,0.0,0.0,0.0,1310,2.4926808,0.003908596,0.0,-0.005351108,167680,5439.448742389679,1.3215254e-05,0.041107178,0.0,0.0,-3.1102819442749023
10813440,1984,0.0,0.0,0.0,1320,2.539371,0.003335254,0.0,-0.0048318203,168960,5479.444510221481,1.157409e-05,0.03048706,0.0,0.0,-3.493069648742676
10895360,2093,0.0,0.0,-0.15,1330,2.6425667,0.0032817898,-0.5,-0.0019668788,170240,5518.911455154419,0.0038411752,0.02255249,0.0,0.0,0.16114956140518188
10977280,2083,0.0,0.0,0.0,1340,2.6877787,0.0013208926,0.0,-0.004279739,171520,5557.798815250397,5.7110727e-05,0.0055236816,0.0,0.0,-0.8330968618392944
11059200,2060,0.0,0.0,0.0,1350,2.6102335,0.0019343678,0.0,-0.004140504,172800,5597.178490400314,2.0383457e-05,0.012939453,0.0,0.0,-2.5538597106933594
11141120,2114,0.0,0.0,0.0,1360,2.6667092,0.0023120712,0.0,-0.004679494,174080,5636.366975545883,1.0374772e-05,0.014373779,0.0,0.0,-2.747218370437622
11223040,2217,0.0,0.0,-1.1,1370,2.747394,0.00077014114,-6.65,-0.0009679182,175360,5673.497689962387,0.12381331,0.00079345703,0.0,0.0,0.11624395847320557
11304960,2079,0.0,0.0,-0.225,1380,2.716262,0.001724547,-8.025,-0.004193947,176640,5711.984154701233,0.000537256,0.01550293,0.0,0.0,-0.1840372085571289
11386880,2166,0.0,0.0,0.0,1390,2.7148848,0.0016105593,0.0,-0.0049689035,177920,5750.720338106155,0.0001555974,0.010406494,0.0,0.0,0.2647014856338501
11468800,2090,0.0,0.0,0.0,1400,2.7571335,0.0022926978,0.0,-0.0059068436,179200,5789.845849275589,7.20872e-05,0.02017212,0.0,0.0,-0.5867952108383179
11550720,2071,0.0,0.0,0.0,1410,2.767544,0.0029297054,0.0,-0.0045584254,180480,5827.900321006775,7.665242e-05,0.02142334,0.0,0.0,-1.0358028411865234
11632640,2112,0.0,0.0,0.0,1420,2.6556356,0.003216826,0.0,-0.0061334455,181760,5866.42188167572,0.00010788647,0.03125,0.0,0.0,-1.020369291305542
11714560,2101,0.0,0.0,0.0,1430,2.648083,0.0033934412,0.0,-0.0071324436,183040,5904.7042417526245,4.3455497e-05,0.034362793,0.0,0.0,-2.270061492919922
11796480,2108,0.0,0.0,0.0,1440,2.6790016,0.0025607937,0.0,-0.007374097,184320,5943.648763895035,3.6835252e-05,0.024749756,0.0,0.0,-2.4622364044189453
11878400,2147,0.0,0.0,0.0,1450,2.6640947,0.0044764476,0.0,-0.002470097,185600,5981.887619256973,0.371739,0.06716919,0.0,0.0,0.0029709935188293457
11960320,2147,0.0,0.0,0.0,1460,2.6586418,0.0038092446,0.0,-0.0068836096,186880,6020.476575136185,7.6990815e-05,0.041809082,0.0,0.0,-3.270583152770996
12042240,2172,0.0,0.0,0.0,1470,2.7079198,0.0016338151,0.0,-0.0060508475,188160,6058.455863714218,0.00011288299,0.012939453,0.0,0.0,-1.4626495838165283
