episode_raw_reward,time_elapsed,nupdates,explained_variance,sil_num_episodes,policy_entropy,sil_valid_samples,serial_timesteps,value_loss,approxkl,episode_reward,clipfrac,fps,policy_loss,sil_steps,best_episode_reward,total_timesteps
-43.35,268602.2355825901,76290,-0.0062940120697021484,0.0,2.7290618,0.0,9765120,0.91553766,0.00050256855,-7.275,0.0064086914,2411,-6.0680017e-05,0.0,0.0,624967680
-40.5,268636.91400647163,76300,0.0077904462814331055,0.0,2.674487,0.0,9766400,0.92391545,0.00068386283,-2.4,0.007293701,2345,-0.0009194729,0.0,0.0,625049600
-26.5,268671.97920179367,76310,-0.005041837692260742,0.0,2.788441,0.0,9767680,0.045028314,0.00018369523,-3.25,0.0009460449,2396,-0.00012727163,0.0,0.0,625131520
-17.7,268706.3062262535,76320,-0.23612689971923828,0.0,2.7266035,0.0,9768960,0.0024832478,0.0007036345,-0.95,0.007232666,2128,-0.0017985898,0.0,0.0,625213440
-31.55,268740.62010645866,76330,-0.7608661651611328,0.0,2.70574,0.0,9770240,0.0017115548,0.0025387234,-2.05,0.016296387,2349,-0.0026276677,0.0,0.0,625295360
-30.05,268776.03576684,76340,-0.4599332809448242,0.0,2.716217,0.0,9771520,0.002823551,0.0006732956,-1.075,0.0067443848,2330,-0.0016891354,0.0,0.0,625377280
-13.475,268810.7959291935,76350,0.026408791542053223,0.0,2.709134,0.0,9772800,0.026157422,0.008499969,-0.425,0.0047912598,2355,-0.0018714885,0.0,0.0,625459200
-30.95,268845.80445075035,76360,-0.0025435686111450195,0.0,2.739104,0.0,9774080,0.8175276,0.00015419014,-4.375,0.0021362305,2366,-0.00016901009,0.0,0.0,625541120
-74.725,268880.352165699,76370,-0.03261137008666992,0.0,2.7371178,0.0,9775360,0.01838173,0.0010894067,-12.675,0.009063721,2330,-0.0032727341,0.0,0.0,625623040
-29.8,268915.7977259159,76380,-0.0017652511596679688,0.0,2.7493234,0.0,9776640,0.14193858,0.00021461697,-3.425,0.0018920898,2378,-0.0001549596,0.0,0.0,625704960
-42.025,268950.0750515461,76390,-0.05687999725341797,0.0,2.7648215,0.0,9777920,0.0021811747,0.0010790227,-5.3,0.0082092285,2563,-0.001665202,0.0,0.0,625786880
-37.3,268984.3913731575,76400,0.0007253885269165039,0.0,2.735597,0.0,9779200,0.8192768,0.00017323678,-4.3,0.0010986328,2356,-0.0002245226,0.0,0.0,625868800
-38.725,269018.90974879265,76410,0.042714059352874756,0.0,2.7180364,0.0,9780480,0.03956356,0.0019844868,-5.125,0.011627197,2383,-0.0031026038,0.0,0.0,625950720
-14.35,269053.56243276596,76420,-0.00047779083251953125,0.0,2.78158,0.0,9781760,1.4858279,7.451191e-05,-0.6,0.00064086914,2314,-8.382711e-05,0.0,0.0,626032640
